KALINLIKID;KUMASCINSIID;IPLIKCINSIID;LYCRATIPIID;LYCRA;OZELLIKID;SIPARISKILO;SIPARISMETRE;PUS;FEINE;TUPACIKENMAYLI;ILAVEISLEMLER;ISLEMGRUBUID;BASKITIPIID;GRAMAJ;SIPARISPROSESID;PROSESID;RECETETURUID;LABRECETEGRUPID;LABRENKGRUPID;USTASAMAID;RENKDERINLIGIID;ICTAMIRVAR;PARTIACILISTARIHI;PARTIILKSEVKTARIHI;TERMINTARIHI
;317;;;0;;0;20;;;;;1;1;;155;155;1;3;2;7;99;0;19.03.2021;27.03.2021;8
;3.039;;;0;;0;10;;;;;1;19;350;136;136;;;;;99;0;19.03.2021;25.03.2021;6
;317;;;0;;0;1;;;0;;1;19;;203;203;;;;;99;0;8.03.2021;13.03.2021;5
;317;;;0;;0;3;;;0;;3;19;;203;203;;;;;99;0;25.06.2021;29.06.2021;4
;317;;;0;;0;3780;;;;;1;;260;1;1;1;3;9;7;99;1;18.09.2021;26.09.2021;8
148;23;145;;0;28;10;0;;;0;SİLİKON;1;1;350;2.082;2.082;49;2;1;126;99;0;15.02.2022;22.02.2022;7
63;22;36;;0;;370;0;;;;AZ ENZİM, SİLİKON;1;;145;500;500;44;2;2;126;99;0;18.09.2021;25.09.2021;7
63;22;36;;0;;195;0;;;;AZ ENZİM, SİLİKON;1;;145;500;500;44;2;2;126;99;0;18.09.2021;25.09.2021;7
;317;;;0;;0;455;;;;;3;;225;270;270;43;3;1;121;99;0;14.02.2022;16.02.2022;2
;317;;;0;;0;2150;;;;;1;;;1;1;1;3;4;7;99;0;18.02.2022;26.02.2022;8
;317;;;0;;0;131;;;;;3;;225;270;270;43;3;1;121;99;0;14.02.2022;16.02.2022;2
;212;;;0;;0;1400;;;0;;0;1;;50;50;17;3;1;13;99;1;15.02.2022;17.03.2022;30
